,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
509,93527.0,2016-08-03T10:36:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Beltzhoover,3.0,18.0,42003562400.0,5.0,18.0,3.0,4-21,-80.00052840000001,40.4210128,EXACT
510,182560.0,2017-08-28T08:11:00,Road,Call Center,1,DOMI - Permits,Bloomfield,7.0,8.0,42003080600.0,2.0,8.0,5.0,3-23,-79.9392311619018,40.4563691932089,EXACT
511,124184.0,2017-01-06T11:43:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0355301,40.469230200000005,EXACT
512,42185.0,2016-01-18T18:42:00,Leak,Website,1,Pittsburgh Water and Sewer Authority,Central Lawrenceville,7.0,9.0,42003090100.0,2.0,9.0,2.0,3-5,-79.9588274261811,40.476520025537205,EXACT
513,180966.0,2017-08-21T14:55:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290100.0,3.0,29.0,3.0,4-23,-79.99502640000001,40.395889200000006,EXACT
514,181892.0,2017-08-24T11:05:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Mount Washington,2.0,19.0,42003191500.0,5.0,19.0,3.0,4-27,-80.005932,40.424136499999996,EXACT
515,181320.0,2017-08-22T14:42:00,"Catch Basin, Clogged",Call Center,1,Pittsburgh Water and Sewer Authority,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.9292823,40.475294399999996,EXACT
516,182109.0,2017-08-24T17:34:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,West End,2.0,19.0,42003980700.0,5.0,19.0,6.0,1-17,-80.0281834,40.444204299999996,EXACT
517,155798.0,2017-05-23T08:30:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Strip District,7.0,6.0,42003020300.0,6.0,6.0,2.0,3-2,-79.9713892730164,40.462618225632504,EXACT
518,173997.0,2017-07-27T13:39:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Central Lawrenceville,7.0,9.0,42003090100.0,2.0,9.0,2.0,3-5,-79.95917490000001,40.4769138,EXACT
519,28443.0,2015-10-20T16:28:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Mount Washington,2.0,19.0,42003191400.0,5.0,19.0,3.0,4-27,-80.0087813,40.431507700000004,EXACT
520,43027.0,2016-01-22T15:28:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Stanton Heights,9.0,10.0,42003100500.0,2.0,10.0,5.0,3-7,-79.9340615,40.4785274,EXACT
521,42414.0,2016-01-20T07:36:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-15,-79.9281224,40.427544899999994,EXACT
522,42444.0,2016-01-20T08:40:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Mount Washington,3.0,18.0,42003180700.0,5.0,18.0,3.0,4-5,-80.00092590000001,40.4237438,EXACT
523,83436.0,2016-06-28T09:33:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Highland Park,7.0,11.0,42003110600.0,2.0,11.0,5.0,3-9,-79.9172219,40.47229779999999,EXACT
524,116182.0,2016-11-14T15:50:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,West Oakland,6.0,4.0,42003040200.0,3.0,4.0,4.0,2-10,-79.9655482,40.440323600000006,EXACT
525,109160.0,2016-10-06T15:47:00,Leak,Control Panel,1,Pittsburgh Water and Sewer Authority,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0052403,40.463788799999996,EXACT
526,118865.0,2016-12-02T13:27:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,South Side Flats,3.0,17.0,42003170200.0,3.0,17.0,3.0,4-24,-79.9774801,40.429949799999996,EXACT
527,120702.0,2016-12-13T17:08:00,Leak,Control Panel,1,Pittsburgh Water and Sewer Authority,Upper Lawrenceville,7.0,10.0,42003101100.0,2.0,10.0,2.0,3-5,-79.9515545,40.480259999999994,EXACT
528,120359.0,2016-12-12T12:19:00,Leak,Control Panel,1,Pittsburgh Water and Sewer Authority,Central Oakland,3.0,4.0,42003040500.0,3.0,4.0,4.0,2-14,-79.9602234,40.4404834,EXACT
529,155899.0,2017-05-23T10:47:00,City Source (CDBG),Control Panel,1,"City Source Associates, Inc.",Brighton Heights,1.0,27.0,42003270100.0,1.0,27.0,1.0,1-14,-80.0464469296596,40.4825435219251,APPROXIMATE
530,128020.0,2017-01-27T10:15:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Perry South,6.0,26.0,42003250900.0,1.0,26.0,1.0,1-22,-80.00333990000001,40.467606700000005,EXACT
531,128091.0,2017-01-27T14:18:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Perry South,6.0,26.0,42003250900.0,1.0,26.0,1.0,1-22,-80.00269616983641,40.467933187567795,EXACT
532,151503.0,2017-05-08T10:12:00,Leak,Control Panel,1,Pittsburgh Water and Sewer Authority,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.9985368,40.4624148,EXACT
533,142539.0,2017-03-31T18:22:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.999137,40.444771,EXACT
534,159514.0,2017-06-06T08:22:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Manchester,6.0,21.0,42003210700.0,1.0,21.0,1.0,1-8,-80.0288449,40.4555191,EXACT
535,162806.0,2017-06-16T18:34:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.0114746,40.477425200000006,EXACT
536,170305.0,2017-07-17T07:29:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-1,-79.96266695767208,40.461202151957295,EXACT
537,170424.0,2017-07-17T09:35:00,Water Main Break,Call Center,1,Pittsburgh Water and Sewer Authority,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-1,-79.9626455,40.461169500000004,EXACT
538,172378.0,2017-07-21T15:47:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Strip District,7.0,2.0,42003020300.0,6.0,2.0,2.0,2-25,-79.97773690000001,40.4543653,EXACT
539,171698.0,2017-07-20T07:08:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Elliott,2.0,20.0,42003562600.0,5.0,20.0,6.0,1-17,-80.03993868827821,40.45011081385871,EXACT
540,176602.0,2017-08-04T12:09:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Spring Garden,1.0,24.0,42003241200.0,1.0,24.0,1.0,1-5,-79.9883439,40.4614189,EXACT
541,171843.0,2017-07-20T11:08:00,Leak,Call Center,1,Pittsburgh Water and Sewer Authority,Central Oakland,3.0,4.0,42003040500.0,3.0,4.0,4.0,2-14,-79.95434754232791,40.4407973690694,EXACT
542,181573.0,2017-08-23T12:26:00,Manhole Cover ,Call Center,1,DOMI - Permits,Hays,5.0,31.0,42003562900.0,3.0,31.0,4.0,4-20,-79.93588000000001,40.380526,EXACT
543,182090.0,2017-08-24T16:29:00,Hydrant,Call Center,1,Pittsburgh Water and Sewer Authority,Summer Hill,1.0,26.0,42003261200.0,1.0,26.0,1.0,1-15,-80.003818705835,40.4865423579257,EXACT
544,151008.0,2017-05-04T18:15:00,Potholes,Call Center,1,DPW - Street Maintenance,New Homestead,5.0,31.0,42003310300.0,3.0,31.0,4.0,4-20,-79.92849,40.389063,EXACT
545,181367.0,2017-08-22T16:08:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Brookline,4.0,32.0,42003191800.0,5.0,32.0,6.0,4-25,-80.0090292,40.3811269,EXACT
546,109109.0,2016-10-06T13:30:00,Homeless,Website,1,Mayor's Office - Community Affairs,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-6,-80.0014972686768,40.4533478946975,EXACT
547,181317.0,2017-08-22T14:38:00,Street Cleaning/Sweeping,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290400.0,3.0,29.0,3.0,4-23,-79.9818477,40.384481,EXACT
548,163462.0,2017-06-20T11:09:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Stanton Heights,9.0,10.0,42003100500.0,2.0,10.0,5.0,3-7,-79.9401309883606,40.4769849061844,EXACT
549,161968.0,2017-06-14T13:56:00,"City Steps, Need Cleared",Control Panel,1,DPW - Street Maintenance,Spring Garden,1.0,23.0,42003241200.0,1.0,23.0,1.0,1-5,-79.99337340000001,40.4597476,EXACT
550,178230.0,2017-08-10T11:35:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Upper Lawrenceville,7.0,10.0,42003101100.0,2.0,10.0,2.0,3-5,-79.95456479999999,40.479857700000004,EXACT
551,162092.0,2017-06-15T08:05:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320400.0,5.0,32.0,3.0,4-23,-79.9921397,40.3827447,EXACT
552,165365.0,2017-06-27T10:50:00,Potholes,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320400.0,5.0,32.0,3.0,4-23,-79.9925745,40.38140670000001,EXACT
553,180406.0,2017-08-18T09:54:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Shadyside,8.0,7.0,42003070500.0,2.0,7.0,4.0,3-11,-79.9303848,40.4554373,EXACT
554,179906.0,2017-08-16T13:51:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,Lincoln Place,5.0,31.0,42003310200.0,3.0,31.0,4.0,4-20,-79.9142543,40.3681939,EXACT
555,149573.0,2017-05-01T15:42:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.01453670000001,40.3948287,EXACT
556,174274.0,2017-07-28T10:06:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Spring Garden,1.0,26.0,42003241200.0,1.0,26.0,1.0,1-11,-79.98607495767209,40.468912477463704,EXACT
557,180389.0,2017-08-18T09:30:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Mount Washington,2.0,19.0,42003191400.0,5.0,19.0,3.0,4-1,-80.0162555,40.4279031,EXACT
558,162935.0,2017-06-19T08:32:00,Paving Concern/Problem,Call Center,1,DOMI - Asphalt,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.9732182,40.421339,EXACT
559,175556.0,2017-08-01T16:17:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.01203459999999,40.4023362,EXACT
560,147064.0,2017-04-21T07:38:00,Homeless,Call Center,1,Mayor's Office - Community Affairs,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.9986026,40.4442406,EXACT
561,159741.0,2017-06-06T13:13:00,Tree Removal,Control Panel,1,DPW - Forestry Division,Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-5,-79.9681147,40.4507022,EXACT
562,175479.0,2017-08-01T14:16:00,"Overgrowth, Parks",Control Panel,1,DPW - Park Maintenance,Perry North,1.0,26.0,42003980400.0,1.0,26.0,1.0,1-15,-80.0200875545438,40.4803376712586,APPROXIMATE
563,165654.0,2017-06-28T09:11:00,Potholes,Call Center,1,DPW - Street Maintenance,New Homestead,5.0,31.0,42003310300.0,3.0,31.0,4.0,4-20,-79.92020550000001,40.394051899999994,EXACT
564,178386.0,2017-08-10T16:17:00,"Traffic or Pedestrian Signal, Repair",Report2Gov iOS,1,DOMI - TrafficShop,East Liberty,9.0,11.0,42003111500.0,2.0,11.0,5.0,3-8,-79.929367,40.465534000000005,EXACT
565,162690.0,2017-06-16T13:26:00,Potholes,Call Center,1,DPW - Street Maintenance,Arlington,3.0,16.0,42003561600.0,3.0,16.0,3.0,4-8,-79.975976,40.416603,EXACT
566,162720.0,2017-06-16T14:20:00,Potholes,Call Center,1,DPW - Street Maintenance,Arlington,3.0,16.0,42003561600.0,3.0,16.0,3.0,4-8,-79.9760273,40.416821999999996,EXACT
567,179552.0,2017-08-15T12:58:00,Collapsed Catch Basin,Call Center,1,Pittsburgh Water and Sewer Authority,Duquesne Heights,2.0,19.0,42003191100.0,5.0,19.0,3.0,4-1,-80.024967,40.4343549,EXACT
568,179164.0,2017-08-14T13:39:00,"Catch Basin, Clogged",Call Center,1,Pittsburgh Water and Sewer Authority,Lower Lawrenceville,7.0,6.0,42003060300.0,2.0,6.0,2.0,3-6,-79.9577171,40.4642739,EXACT
569,165794.0,2017-06-28T12:25:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Squirrel Hill South,5.0,14.0,42003140800.0,3.0,14.0,4.0,2-21,-79.918154,40.431930200000004,EXACT
570,171003.0,2017-07-18T11:55:00,Tree Removal,Call Center,1,DPW - Forestry Division,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.01295290000002,40.4852845,EXACT
571,170553.0,2017-07-17T11:31:00,Check Conditions,Call Center,1,Animal Care & Control,Carrick,4.0,29.0,42003290400.0,3.0,29.0,3.0,4-23,-79.98485747627991,40.3833181056992,APPROXIMATE
572,179192.0,2017-08-14T14:25:00,Street Light - Repair,Call Center,1,Allegheny City Electric,Sheraden,2.0,20.0,42003562500.0,5.0,20.0,6.0,1-16,-80.0518353,40.4572547,EXACT
573,176501.0,2017-08-04T09:53:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Hazelwood,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-12,-79.93916920000001,40.415508200000005,EXACT
574,175536.0,2017-08-01T15:32:00,Collapsed Catch Basin,Call Center,1,Pittsburgh Water and Sewer Authority,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.92330030000001,40.485623,EXACT
575,175877.0,2017-08-02T14:02:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Upper Hill,6.0,5.0,42003050900.0,3.0,5.0,2.0,2-5,-79.965948,40.454827200000004,EXACT
576,176803.0,2017-08-04T17:27:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0245089,40.4927834,EXACT
577,167639.0,2017-07-06T11:17:00,Request New Sign,Control Panel,1,DOMI - Traffic,Fineview,1.0,25.0,42003250900.0,1.0,25.0,1.0,1-10,-80.0053918,40.4641102,EXACT
578,170928.0,2017-07-18T10:09:00,Building Maintenance,Call Center,1,"Permits, Licenses and Inspections",Knoxville,3.0,30.0,42003300100.0,5.0,30.0,3.0,4-7,-79.9925559101191,40.4106969674223,APPROXIMATE
579,176236.0,2017-08-03T12:11:00,Overgrowth,Control Panel,1,DPW - Street Maintenance,Brighton Heights,1.0,27.0,42003270300.0,1.0,27.0,1.0,1-14,-80.0357525,40.4774573,EXACT
580,161752.0,2017-06-14T08:48:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191700.0,5.0,19.0,6.0,4-26,-80.00807879999999,40.410346399999995,EXACT
581,168167.0,2017-07-07T14:59:00,Potholes,Call Center,1,DPW - Street Maintenance,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-6,-79.9854813,40.4229389,EXACT
582,178018.0,2017-08-09T15:17:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-79.9997178,40.3822041,EXACT
584,167823.0,2017-07-06T15:25:00,Overgrowth,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003191800.0,5.0,19.0,6.0,4-26,-80.02589640000001,40.3924665,EXACT
585,146052.0,2017-04-18T09:08:00,Potholes,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290100.0,3.0,29.0,3.0,4-23,-79.9908799589996,40.3946164682605,EXACT
586,177678.0,2017-08-08T15:00:00,Potholes,Control Panel,1,DPW - Street Maintenance,Spring Garden,1.0,23.0,42003241200.0,1.0,23.0,1.0,1-5,-79.99485,40.458226700000004,EXACT
587,167250.0,2017-07-05T11:23:00,Illegal Dumping,Call Center,1,DOMI - Permits,California-Kirkbride,6.0,21.0,42003250700.0,1.0,21.0,1.0,1-9,-80.0245095806252,40.4619879749083,APPROXIMATE
588,99926.0,2016-08-26T10:39:00,Field,Call Center,1,DPW - Park Maintenance,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.9860576,40.461698999999996,EXACT
589,171118.0,2017-07-18T14:36:00,Dead tree (Public property),Call Center,1,DPW - Forestry Division,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.02792729999999,40.4161566,EXACT
590,90563.0,2016-07-25T08:01:00,Building Maintenance,Website,1,"Permits, Licenses and Inspections",Spring Garden,1.0,24.0,42003241200.0,1.0,24.0,1.0,1-5,-79.9914019131032,40.459830165429295,APPROXIMATE
591,162042.0,2017-06-14T18:00:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-80.000359,40.379057,EXACT
592,173542.0,2017-07-26T12:09:00,"Traffic or Pedestrian Signal, Repair",Call Center,1,DOMI - TrafficShop,Lower Lawrenceville,7.0,6.0,42003090100.0,2.0,6.0,2.0,3-3,-79.9669065,40.471717299999995,EXACT
593,177349.0,2017-08-07T17:16:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Beltzhoover,3.0,18.0,42003562400.0,5.0,18.0,3.0,4-21,-79.9977622,40.416451200000004,EXACT
594,176821.0,2017-08-04T18:29:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Garfield,9.0,11.0,42003111400.0,2.0,11.0,5.0,3-4,-79.9350116,40.4670126,EXACT
595,169010.0,2017-07-11T10:54:00,New Crosswalk Request,Control Panel,1,DOMI - Traffic,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0256727,40.482650799999995,EXACT
596,176808.0,2017-08-04T17:38:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Sheraden,2.0,20.0,42003202200.0,5.0,20.0,6.0,1-16,-80.0644251,40.457077500000004,EXACT
597,176666.0,2017-08-04T13:59:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Sheraden,2.0,20.0,42003202200.0,5.0,20.0,6.0,1-16,-80.0656966767212,40.4521705306487,EXACT
598,176202.0,2017-08-03T11:22:00,Litter,Call Center,1,DPW - Park Maintenance,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.9258234209015,40.484170571166295,EXACT
599,168537.0,2017-07-10T11:06:00,Litter,Call Center,1,DPW - Street Maintenance,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-17,-79.8774570944428,40.456432627366,EXACT
600,176922.0,2017-08-07T08:04:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Mount Washington,3.0,18.0,42003180700.0,5.0,18.0,3.0,4-5,-80.0018441,40.42383770000001,EXACT
601,176925.0,2017-08-07T08:10:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Mount Washington,3.0,18.0,42003180700.0,5.0,18.0,3.0,4-5,-80.0018872,40.422720500000004,EXACT
602,176697.0,2017-08-04T14:44:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Shadyside,8.0,7.0,42003070300.0,2.0,7.0,4.0,3-22,-79.9335876,40.454249700000005,EXACT
603,169607.0,2017-07-13T08:38:00,Unpermitted Electrical Work,Control Panel,1,"Permits, Licenses and Inspections",Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.9982792095237,40.4420429316215,APPROXIMATE
604,163213.0,2017-06-19T14:49:00,Litter,Call Center,1,DPW - Street Maintenance,Beechview,2.0,20.0,42003191600.0,5.0,20.0,6.0,4-9,-80.0298778,40.4158921,EXACT
605,176802.0,2017-08-04T17:24:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Crafton Heights,2.0,28.0,42003281500.0,5.0,28.0,6.0,1-18,-80.057998,40.4400845,EXACT
606,176806.0,2017-08-04T17:36:00,Tree Fallen Across Sidewalk,Call Center,1,DPW - Street Maintenance,Crafton Heights,2.0,28.0,42003281500.0,5.0,28.0,6.0,1-18,-80.05654559999999,40.43904129999999,EXACT
607,176801.0,2017-08-04T17:22:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Crawford-Roberts,6.0,3.0,42003030500.0,3.0,3.0,2.0,2-1,-79.9899691,40.443313700000004,EXACT
608,102485.0,2016-09-07T09:41:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Manchester,6.0,21.0,42003210700.0,1.0,21.0,1.0,1-8,-80.0287324,40.456364799999996,EXACT
609,76119.0,2016-06-03T11:29:00,Replace/Repair a Sign,Call Center,1,DOMI - TrafficShop,Squirrel Hill South,5.0,15.0,42003141400.0,3.0,15.0,4.0,2-12,-79.92170382726141,40.414023623849296,EXACT
610,170650.0,2017-07-17T13:16:00,Potholes,Call Center,1,DPW - Street Maintenance,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0162733,40.487252500000004,EXACT
611,100268.0,2016-08-29T09:12:00,Tree Removal,Call Center,1,DPW - Forestry Division,South Side Slopes,3.0,17.0,42003170600.0,3.0,17.0,3.0,4-3,-79.9789661,40.4223549,EXACT
612,173075.0,2017-07-25T10:13:00,Utility Cut - Other,Report2Gov iOS,1,DOMI - Permits,Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-12,-79.9397877,40.42577360000001,EXACT
613,174415.0,2017-07-28T13:53:00,Overgrowth,Control Panel,1,DPW - Street Maintenance,Greenfield,5.0,15.0,42003151700.0,3.0,15.0,4.0,2-15,-79.93238000000001,40.427440000000004,EXACT
614,174631.0,2017-07-31T07:04:00,Port A Potty,Call Center,1,DPW - Street Maintenance,Strip District,7.0,6.0,42003020300.0,6.0,6.0,2.0,3-2,-79.9745915,40.4578914,EXACT
615,156077.0,2017-05-23T15:44:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Upper Lawrenceville,7.0,10.0,42003101100.0,2.0,10.0,2.0,3-5,-79.953487,40.480632,EXACT
616,175477.0,2017-08-01T14:13:00,Wires,Call Center,1,DOMI - Permits,Squirrel Hill North,8.0,14.0,42003140100.0,3.0,14.0,4.0,2-26,-79.9388074,40.44389879999999,EXACT
617,160156.0,2017-06-07T15:14:00,Overgrowth,Call Center,1,DPW - Street Maintenance,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.9708197,40.4203724,EXACT
618,173625.0,2017-07-26T14:03:00,Potholes,Call Center,1,DPW - Street Maintenance,Brookline,4.0,19.0,42003320600.0,5.0,19.0,6.0,4-26,-80.0131734,40.3926273,EXACT
619,161084.0,2017-06-12T09:43:00,Potholes,Call Center,1,DPW - Street Maintenance,South Side Slopes,3.0,16.0,42003160800.0,3.0,16.0,3.0,4-22,-79.9708197,40.4203724,EXACT
620,96170.0,2016-08-12T15:48:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.98361440000001,40.398988,EXACT
621,99822.0,2016-08-26T00:41:00,Excessive Noise/Disturbances,Website,1,Police - Zones 1-6,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-5,-79.9969677938731,40.457254065737,APPROXIMATE
622,174034.0,2017-07-27T14:19:00,Blocked or Closed Sidewalks,Call Center,1,DOMI - Permits,Morningside,7.0,10.0,42003101400.0,2.0,10.0,5.0,3-7,-79.9239592871667,40.486527941972,APPROXIMATE
623,154659.0,2017-05-18T10:38:00,City Source (CDBG),Call Center,1,"City Source Associates, Inc.",Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.02449064852671,40.4913962988404,APPROXIMATE
624,170366.0,2017-07-17T08:40:00,Parks Trails,Call Center,1,DPW - Park Maintenance,Squirrel Hill South,5.0,14.0,42003980300.0,3.0,14.0,4.0,2-21,-79.90961209999999,40.4321561,EXACT
625,171914.0,2017-07-20T13:02:00,Parks Trails,Call Center,1,DPW - Park Maintenance,Squirrel Hill South,5.0,14.0,42003980300.0,3.0,14.0,4.0,2-21,-79.90894420000001,40.4368831,EXACT
626,173768.0,2017-07-27T07:59:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290400.0,3.0,29.0,3.0,4-15,-79.9745291,40.3913905,EXACT
628,74784.0,2016-06-01T16:50:00,City Source (CDBG),Call Center,1,"City Source Associates, Inc.",Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.9939977219072,40.4631327202535,APPROXIMATE
629,165996.0,2017-06-29T08:33:00,Electrical Violation,Call Center,1,"Permits, Licenses and Inspections",Elliott,2.0,20.0,42003562600.0,5.0,20.0,6.0,1-17,-80.04087505172659,40.4402062927211,APPROXIMATE
630,148852.0,2017-04-28T08:04:00,Litter,Call Center,1,DPW - Street Maintenance,Beltzhoover,3.0,18.0,42003562400.0,5.0,18.0,3.0,4-16,-80.00983000000001,40.417396000000004,EXACT
631,173909.0,2017-07-27T11:23:00,Mayor's Office,Call Center,1,311,Middle Hill,6.0,5.0,42003050100.0,3.0,5.0,2.0,2-5,-79.9723355295314,40.447535203369604,APPROXIMATE
632,157978.0,2017-05-31T12:46:00,Request New Sign,Control Panel,1,DOMI - Traffic,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.99849470000001,40.4640745,EXACT
633,173071.0,2017-07-25T10:08:00,"Overgrowth, Parks",Call Center,1,DPW - Park Maintenance,Squirrel Hill South,5.0,14.0,42003980500.0,3.0,14.0,4.0,2-8,-79.94213868117329,40.4344640900747,APPROXIMATE
634,172906.0,2017-07-24T15:52:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Glen Hazel,5.0,15.0,42003562300.0,3.0,15.0,4.0,2-13,-79.9306437,40.4059491,EXACT
635,145594.0,2017-04-17T08:50:00,Potholes,Call Center,1,DPW - Street Maintenance,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.9860966,40.400813299999996,EXACT
636,145643.0,2017-04-17T09:43:00,Curb/Request for Asphalt Windrow,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320700.0,5.0,32.0,3.0,4-25,-79.997567,40.380145,EXACT
637,158683.0,2017-06-02T11:52:00,Dead Tree (3TB),Call Center,1,DPW - Construction Division,Hazelwood,5.0,15.0,42003562900.0,3.0,15.0,4.0,2-13,-79.9430358891398,40.41573423013371,APPROXIMATE
638,173326.0,2017-07-25T16:55:00,Tree Fallen Across Road,Call Center,1,DPW - Street Maintenance,Overbrook,4.0,32.0,42003320400.0,5.0,32.0,3.0,4-23,-79.9955811,40.382375599999996,EXACT
639,171865.0,2017-07-20T11:47:00,Illegal Dumping,Control Panel,1,DOMI - Permits,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.02433869839109,40.4914974675349,APPROXIMATE
